sample_no,set_name,input_token,output_token,total_token
0,test,163,610,773
1,test,161,4175,4336
0,test,163,610,773
1,test,161,2951,3112
0,test,163,792,955
1,test,174,2454,2628
2,test,146,3840,3986
3,test,136,418,554
4,test,123,252,375
5,test,157,835,992
6,test,148,292,440
7,test,123,324,447
8,test,140,444,584
9,test,138,740,878
10,test,140,351,491
11,test,155,1500,1655
12,test,143,568,711
13,test,131,355,486
14,test,149,1910,2059
15,test,113,468,581
16,test,183,1139,1322
17,test,132,380,512
18,test,120,337,457
19,test,147,422,569
20,test,136,798,934
21,test,157,519,676
22,test,149,3541,3690
23,test,132,534,666
24,test,156,478,634
25,test,135,663,798
26,test,146,476,622
27,test,127,570,697
28,test,166,2770,2936
29,test,198,1399,1597
30,test,213,914,1127
31,test,139,2176,2315
32,test,122,324,446
33,test,136,536,672
34,test,140,448,588
35,test,125,411,536
36,test,130,312,442
37,test,127,2672,2799
38,test,179,362,541
39,test,159,331,490
40,test,121,888,1009
41,test,140,355,495
42,test,132,426,558
43,test,146,292,438
44,test,132,1825,1957
45,test,123,571,694
46,test,152,504,656
47,test,143,358,501
48,test,130,533,663
49,test,111,314,425
50,test,238,782,1020
51,test,130,292,422
52,test,120,489,609
53,test,130,317,447
54,test,158,481,639
55,test,152,756,908
56,test,151,555,706
57,test,126,902,1028
58,test,143,478,621
59,test,149,992,1141
60,test,150,451,601
61,test,134,504,638
62,test,141,446,587
63,test,121,168,289
64,test,128,561,689
65,test,127,419,546
66,test,127,574,701
67,test,141,1074,1215
68,test,152,269,421
69,test,142,387,529
70,test,149,311,460
71,test,130,285,415
72,test,141,2394,2535
73,test,136,331,467
74,test,132,546,678
75,test,121,515,636
76,test,158,348,506
77,test,126,215,341
78,test,159,660,819
79,test,129,301,430
80,test,134,368,502
81,test,130,1080,1210
82,test,135,566,701
83,test,134,2080,2214
84,test,146,827,973
85,test,153,374,527
86,test,129,818,947
87,test,132,282,414
88,test,117,1225,1342
89,test,125,286,411
90,test,190,1431,1621
91,test,137,652,789
92,test,136,632,768
93,test,144,473,617
94,test,130,315,445
95,test,167,596,763
96,test,134,401,535
97,test,143,335,478
98,test,156,334,490
99,test,135,335,470
100,test,144,766,910
101,test,153,1229,1382
102,test,154,425,579
103,test,118,301,419
104,test,245,673,918
105,test,123,485,608
106,test,161,4678,4839
107,test,142,488,630
108,test,137,382,519
109,test,124,310,434
110,test,130,325,455
111,test,151,2088,2239
112,test,167,832,999
113,test,123,284,407
114,test,112,266,378
115,test,197,2531,2728
116,test,142,384,526
117,test,177,525,702
118,test,123,228,351
119,test,168,739,907
120,test,122,456,578
121,test,148,3931,4079
122,test,166,2359,2525
123,test,163,437,600
124,test,137,1770,1907
125,test,172,3140,3312
126,test,165,634,799
127,test,124,244,368
128,test,152,544,696
129,test,160,391,551
130,test,130,273,403
131,test,120,349,469
132,test,179,923,1102
133,test,138,1111,1249
134,test,111,704,815
136,test,115,516,631
137,test,144,415,559
138,test,134,675,809
139,test,124,419,543
140,test,144,534,678
141,test,124,503,627
142,test,149,577,726
143,test,179,2698,2877
144,test,133,551,684
145,test,158,531,689
146,test,145,314,459
147,test,153,410,563
148,test,119,380,499
149,test,155,1629,1784
150,test,143,284,427
151,test,138,343,481
152,test,136,1156,1292
153,test,148,412,560
154,test,116,245,361
155,test,127,609,736
156,test,123,227,350
157,test,159,1161,1320
158,test,141,433,574
159,test,265,1888,2153
160,test,173,4921,5094
161,test,146,318,464
162,test,144,2251,2395
163,test,121,270,391
164,test,144,4010,4154
165,test,135,433,568
166,test,154,465,619
167,test,153,391,544
168,test,122,295,417
169,test,124,348,472
170,test,130,4137,4267
171,test,158,327,485
172,test,149,1266,1415
173,test,135,501,636
174,test,146,1291,1437
175,test,128,393,521
176,test,138,1570,1708
177,test,144,1106,1250
178,test,136,1509,1645
179,test,134,438,572
180,test,146,598,744
181,test,137,2342,2479
182,test,124,742,866
183,test,113,383,496
184,test,150,637,787
185,test,149,738,887
186,test,275,650,925
187,test,144,384,528
188,test,160,573,733
189,test,148,358,506
190,test,140,351,491
191,test,149,412,561
192,test,139,1306,1445
193,test,128,569,697
194,test,136,365,501
195,test,129,241,370
196,test,137,357,494
197,test,174,724,898
198,test,176,435,611
199,test,129,332,461
200,test,157,1182,1339
201,test,135,779,914
202,test,147,300,447
203,test,203,1679,1882
204,test,126,478,604
205,test,128,737,865
206,test,143,648,791
207,test,139,660,799
208,test,135,1052,1187
209,test,176,6348,6524
210,test,133,297,430
211,test,152,516,668
212,test,203,1216,1419
213,test,121,1828,1949
214,test,125,362,487
215,test,147,965,1112
216,test,118,266,384
217,test,145,1236,1381
218,test,168,710,878
219,test,109,227,336
220,test,154,415,569
221,test,131,709,840
222,test,146,375,521
223,test,120,823,943
224,test,133,533,666
225,test,115,349,464
226,test,140,1023,1163
227,test,172,368,540
228,test,161,852,1013
229,test,160,594,754
230,test,142,394,536
231,test,124,464,588
232,test,119,444,563
233,test,133,895,1028
234,test,134,620,754
235,test,191,844,1035
236,test,123,378,501
237,test,145,1028,1173
238,test,145,383,528
239,test,127,327,454
240,test,154,735,889
241,test,116,927,1043
242,test,131,390,521
243,test,136,504,640
244,test,133,476,609
245,test,147,495,642
246,test,139,492,631
247,test,117,320,437
248,test,128,318,446
249,test,142,247,389
250,test,131,352,483
252,test,145,846,991
253,test,264,541,805
254,test,131,332,463
255,test,117,748,865
256,test,134,298,432
257,test,142,291,433
258,test,136,440,576
259,test,128,1455,1583
260,test,138,597,735
261,test,142,521,663
262,test,137,328,465
263,test,131,794,925
264,test,155,826,981
265,test,133,357,490
266,test,121,318,439
267,test,167,3130,3297
268,test,136,412,548
269,test,153,564,717
270,test,122,297,419
271,test,141,369,510
272,test,133,560,693
273,test,133,284,417
274,test,125,364,489
275,test,143,745,888
276,test,212,3668,3880
277,test,128,1006,1134
278,test,139,381,520
279,test,141,439,580
280,test,126,485,611
281,test,135,282,417
282,test,155,2507,2662
283,test,128,363,491
284,test,121,344,465
285,test,133,337,470
286,test,128,1306,1434
287,test,163,566,729
288,test,132,277,409
289,test,215,1230,1445
290,test,129,327,456
291,test,116,298,414
292,test,151,440,591
293,test,147,474,621
294,test,167,578,745
295,test,135,564,699
296,test,132,335,467
297,test,128,840,968
298,test,133,630,763
299,test,217,352,569
300,test,212,769,981
301,test,160,577,737
302,test,141,469,610
303,test,172,363,535
304,test,120,1324,1444
305,test,146,588,734
306,test,154,937,1091
307,test,147,583,730
308,test,160,312,472
309,test,135,292,427
310,test,144,426,570
311,test,141,589,730
312,test,171,687,858
313,test,127,329,456
314,test,133,395,528
315,test,124,551,675
316,test,188,590,778
317,test,141,363,504
318,test,208,1593,1801
319,test,143,999,1142
320,test,128,397,525
321,test,133,385,518
322,test,149,394,543
323,test,135,371,506
324,test,200,563,763
325,test,151,560,711
326,test,187,3202,3389
327,test,120,1131,1251
328,test,142,3814,3956
329,test,134,243,377
330,test,185,765,950
331,test,167,702,869
332,test,133,432,565
333,test,154,566,720
334,test,137,390,527
335,test,132,517,649
336,test,151,598,749
337,test,154,4915,5069
338,test,125,758,883
339,test,140,829,969
340,test,153,896,1049
341,test,152,1011,1163
342,test,165,277,442
343,test,123,666,789
344,test,165,535,700
345,test,122,1531,1653
346,test,123,360,483
347,test,122,600,722
348,test,157,1394,1551
349,test,130,320,450
350,test,137,655,792
351,test,158,539,697
352,test,144,914,1058
353,test,136,436,572
354,test,134,248,382
355,test,166,471,637
356,test,129,320,449
357,test,134,455,589
358,test,133,385,518
359,test,145,9389,9534
360,test,126,719,845
361,test,130,1038,1168
362,test,125,581,706
363,test,136,425,561
364,test,141,434,575
365,test,149,376,525
366,test,151,424,575
367,test,132,1832,1964
368,test,175,539,714
369,test,133,495,628
370,test,148,483,631
371,test,128,418,546
372,test,137,301,438
373,test,145,357,502
374,test,143,568,711
375,test,149,506,655
376,test,128,314,442
377,test,147,395,542
378,test,133,519,652
379,test,168,527,695
380,test,139,247,386
381,test,128,243,371
382,test,146,408,554
383,test,141,1594,1735
384,test,130,1418,1548
385,test,119,1017,1136
388,test,155,5282,5437
389,test,141,422,563
390,test,149,435,584
391,test,133,372,505
392,test,123,1419,1542
393,test,152,761,913
394,test,165,1650,1815
395,test,273,760,1033
396,test,165,762,927
397,test,144,1152,1296
398,test,141,631,772
399,test,171,496,667
400,test,140,273,413
401,test,124,705,829
402,test,142,2078,2220
403,test,223,448,671
404,test,128,542,670
405,test,131,1096,1227
406,test,176,544,720
407,test,128,332,460
408,test,131,407,538
409,test,140,445,585
410,test,138,2049,2187
411,test,119,346,465
412,test,121,281,402
413,test,122,408,530
414,test,137,260,397
415,test,134,399,533
416,test,144,508,652
417,test,136,522,658
418,test,120,272,392
419,test,136,427,563
420,test,156,443,599
421,test,144,2629,2773
422,test,127,333,460
423,test,149,1586,1735
424,test,148,411,559
425,test,173,639,812
426,test,136,1245,1381
427,test,146,610,756
428,test,288,4149,4437
429,test,133,463,596
430,test,134,493,627
431,test,173,572,745
432,test,151,448,599
433,test,138,555,693
434,test,126,317,443
435,test,128,445,573
436,test,128,497,625
437,test,150,469,619
438,test,127,2091,2218
439,test,130,389,519
440,test,134,639,773
441,test,144,463,607
442,test,135,569,704
443,test,124,280,404
444,test,122,352,474
445,test,119,263,382
446,test,119,280,399
447,test,135,482,617
448,test,146,778,924
449,test,127,333,460
450,test,122,439,561
451,test,167,1783,1950
452,test,135,830,965
453,test,121,349,470
454,test,144,1096,1240
455,test,135,552,687
456,test,129,884,1013
457,test,149,364,513
458,test,140,454,594
459,test,134,235,369
460,test,159,6086,6245
461,test,131,487,618
462,test,131,320,451
463,test,194,609,803
464,test,159,1253,1412
465,test,142,586,728
466,test,128,427,555
467,test,135,639,774
468,test,139,297,436
469,test,151,530,681
470,test,121,569,690
471,test,129,604,733
472,test,136,903,1039
473,test,165,3466,3631
474,test,136,372,508
475,test,170,7381,7551
476,test,183,5937,6120
477,test,123,449,572
478,test,120,275,395
479,test,133,829,962
480,test,208,892,1100
481,test,122,321,443
482,test,125,571,696
483,test,147,462,609
484,test,120,1124,1244
485,test,125,509,634
486,test,132,414,546
487,test,170,383,553
488,test,161,795,956
489,test,145,467,612
490,test,136,477,613
491,test,135,3641,3776
492,test,121,673,794
493,test,165,333,498
494,test,119,313,432
495,test,125,407,532
496,test,127,3405,3532
497,test,193,758,951
498,test,143,1289,1432
499,test,156,421,577
500,test,129,311,440
501,test,112,627,739
502,test,131,280,411
503,test,135,219,354
504,test,136,191,327
505,test,135,1095,1230
506,test,121,366,487
507,test,145,502,647
508,test,137,551,688
509,test,124,297,421
510,test,132,249,381
511,test,177,818,995
512,test,191,929,1120
513,test,132,614,746
514,test,149,1528,1677
515,test,137,834,971
516,test,152,2776,2928
517,test,123,1734,1857
518,test,134,712,846
519,test,136,372,508
520,test,126,431,557
521,test,138,382,520
522,test,124,277,401
523,test,129,946,1075
524,test,142,537,679
525,test,112,883,995
526,test,121,3746,3867
527,test,138,326,464
528,test,152,431,583
529,test,133,378,511
530,test,190,1850,2040
531,test,125,485,610
532,test,146,2287,2433
533,test,152,2904,3056
534,test,137,1733,1870
535,test,134,1854,1988
536,test,153,422,575
537,test,124,460,584
538,test,160,589,749
539,test,155,516,671
540,test,159,447,606
541,test,148,464,612
542,test,151,1314,1465
543,test,189,543,732
544,test,134,351,485
545,test,164,813,977
546,test,140,629,769
547,test,118,701,819
548,test,136,888,1024
549,test,135,918,1053
550,test,130,317,447
551,test,142,373,515
552,test,141,262,403
553,test,178,3809,3987
554,test,167,1300,1467
555,test,138,1156,1294
556,test,185,3779,3964
557,test,135,333,468
558,test,142,455,597
559,test,130,721,851
560,test,135,463,598
561,test,177,538,715
562,test,131,548,679
563,test,129,754,883
564,test,119,473,592
565,test,121,998,1119
566,test,143,1768,1911
567,test,163,2295,2458
568,test,149,601,750
569,test,179,1009,1188
570,test,140,282,422
571,test,157,687,844
572,test,143,413,556
573,test,123,369,492
574,test,151,480,631
575,test,156,512,668
576,test,127,309,436
577,test,180,1967,2147
578,test,138,1076,1214
579,test,134,274,408
580,test,142,486,628
581,test,146,1780,1926
582,test,157,498,655
583,test,172,483,655
584,test,147,413,560
585,test,138,397,535
586,test,128,478,606
587,test,151,513,664
588,test,131,545,676
589,test,173,649,822
590,test,129,1567,1696
591,test,153,382,535
592,test,148,3189,3337
593,test,186,3620,3806
594,test,136,1286,1422
595,test,163,668,831
596,test,142,411,553
597,test,117,543,660
598,test,131,904,1035
599,test,119,1228,1347
600,test,133,5008,5141
601,test,124,335,459
602,test,150,4580,4730
603,test,135,440,575
604,test,124,374,498
605,test,149,3316,3465
606,test,151,877,1028
607,test,131,252,383
608,test,127,432,559
609,test,135,602,737
610,test,140,460,600
611,test,151,523,674
612,test,151,914,1065
613,test,140,481,621
614,test,180,5731,5911
615,test,131,517,648
616,test,123,356,479
617,test,120,374,494
618,test,172,740,912
619,test,144,632,776
620,test,138,371,509
621,test,143,581,724
622,test,131,362,493
623,test,153,609,762
624,test,112,3087,3199
625,test,121,680,801
626,test,143,417,560
627,test,138,1507,1645
628,test,143,877,1020
629,test,116,424,540
630,test,129,382,511
631,test,142,1117,1259
632,test,136,381,517
633,test,167,550,717
634,test,129,597,726
635,test,142,919,1061
636,test,122,365,487
637,test,136,479,615
638,test,127,346,473
639,test,152,2554,2706
640,test,146,737,883
641,test,142,4156,4298
642,test,139,326,465
643,test,129,448,577
644,test,129,359,488
645,test,177,1508,1685
646,test,127,332,459
647,test,192,461,653
648,test,187,3987,4174
649,test,118,399,517
650,test,174,411,585
651,test,116,522,638
652,test,200,1127,1327
653,test,145,259,404
654,test,138,2230,2368
655,test,151,636,787
656,test,133,530,663
657,test,147,1091,1238
658,test,137,834,971
659,test,152,438,590
660,test,127,700,827
661,test,126,327,453
662,test,175,862,1037
663,test,129,446,575
664,test,139,510,649
665,test,141,473,614
666,test,154,4529,4683
667,test,123,389,512
668,test,135,414,549
669,test,143,551,694
670,test,139,710,849
671,test,149,1035,1184
672,test,138,4729,4867
673,test,144,396,540
674,test,135,533,668
675,test,134,605,739
676,test,131,352,483
677,test,122,481,603
678,test,160,289,449
679,test,222,1016,1238
680,test,146,477,623
681,test,150,442,592
682,test,143,2760,2903
683,test,152,688,840
684,test,135,459,594
685,test,137,439,576
686,test,146,339,485
687,test,150,532,682
688,test,138,799,937
689,test,160,515,675
690,test,133,332,465
691,test,124,554,678
692,test,116,1516,1632
693,test,161,392,553
694,test,224,1105,1329
695,test,141,287,428
696,test,124,455,579
697,test,128,393,521
698,test,125,347,472
699,test,135,1446,1581
700,test,162,754,916
701,test,123,288,411
702,test,178,619,797
703,test,168,509,677
704,test,122,784,906
705,test,128,705,833
706,test,181,865,1046
707,test,130,294,424
708,test,129,2043,2172
709,test,137,429,566
710,test,116,643,759
711,test,128,1697,1825
712,test,149,382,531
713,test,127,636,763
714,test,129,1108,1237
715,test,152,354,506
716,test,153,478,631
717,test,132,399,531
718,test,180,487,667
719,test,140,361,501
720,test,148,3445,3593
721,test,147,346,493
722,test,121,811,932
723,test,128,229,357
724,test,144,1324,1468
725,test,126,2794,2920
726,test,165,247,412
727,test,121,229,350
728,test,160,488,648
729,test,151,256,407
730,test,139,485,624
731,test,134,527,661
732,test,140,292,432
733,test,125,572,697
734,test,128,679,807
735,test,180,1223,1403
736,test,171,1793,1964
737,test,133,1101,1234
738,test,122,409,531
739,test,150,2274,2424
740,test,184,548,732
741,test,114,566,680
742,test,168,404,572
743,test,113,319,432
744,test,152,379,531
745,test,130,394,524
746,test,138,498,636
747,test,158,1595,1753
748,test,163,6260,6423
749,test,130,608,738
750,test,126,190,316
751,test,156,396,552
752,test,150,1019,1169
753,test,151,632,783
754,test,128,356,484
755,test,164,974,1138
756,test,140,381,521
757,test,163,393,556
758,test,154,478,632
759,test,142,411,553
760,test,133,440,573
761,test,130,373,503
762,test,200,3958,4158
763,test,136,279,415
764,test,153,695,848
765,test,133,315,448
766,test,131,450,581
767,test,125,329,454
768,test,142,1187,1329
769,test,138,280,418
770,test,131,378,509
771,test,128,1395,1523
772,test,112,385,497
774,test,123,270,393
775,test,150,803,953
776,test,143,332,475
777,test,136,310,446
778,test,160,890,1050
779,test,127,461,588
780,test,117,372,489
781,test,163,463,626
782,test,142,982,1124
783,test,161,437,598
784,test,130,614,744
785,test,131,839,970
786,test,173,365,538
787,test,131,374,505
788,test,141,497,638
789,test,135,316,451
790,test,138,1211,1349
791,test,124,679,803
792,test,165,783,948
793,test,124,395,519
794,test,153,362,515
795,test,151,1408,1559
796,test,133,365,498
797,test,125,449,574
798,test,163,814,977
799,test,142,432,574
800,test,117,2418,2535
801,test,151,338,489
802,test,121,339,460
803,test,158,522,680
804,test,198,699,897
805,test,144,580,724
806,test,171,575,746
807,test,142,551,693
808,test,151,469,620
809,test,158,1401,1559
810,test,126,206,332
811,test,157,355,512
812,test,123,2068,2191
813,test,150,406,556
814,test,129,478,607
815,test,139,5531,5670
816,test,125,795,920
817,test,139,268,407
818,test,123,431,554
819,test,149,495,644
820,test,145,325,470
821,test,126,288,414
822,test,135,1047,1182
823,test,176,476,652
824,test,156,406,562
825,test,134,344,478
826,test,174,448,622
827,test,145,602,747
828,test,132,544,676
829,test,146,2458,2604
830,test,193,709,902
831,test,198,529,727
832,test,147,305,452
833,test,128,479,607
834,test,141,309,450
835,test,130,1307,1437
836,test,123,729,852
837,test,194,440,634
838,test,121,134,255
839,test,137,393,530
840,test,154,482,636
841,test,135,331,466
842,test,159,491,650
843,test,134,412,546
844,test,171,604,775
845,test,145,451,596
846,test,208,793,1001
847,test,124,586,710
848,test,146,1432,1578
849,test,116,592,708
850,test,140,7739,7879
851,test,136,971,1107
852,test,145,896,1041
853,test,124,486,610
854,test,130,255,385
855,test,143,479,622
856,test,144,331,475
857,test,152,410,562
858,test,125,370,495
859,test,170,488,658
860,test,141,235,376
861,test,144,826,970
862,test,139,379,518
863,test,133,348,481
864,test,143,314,457
865,test,147,499,646
866,test,170,462,632
867,test,151,914,1065
868,test,140,3221,3361
869,test,151,394,545
870,test,142,491,633
871,test,136,334,470
872,test,120,359,479
873,test,124,455,579
874,test,143,284,427
875,test,149,395,544
876,test,135,830,965
877,test,128,482,610
878,test,135,986,1121
879,test,123,243,366
880,test,128,3948,4076
881,test,135,724,859
882,test,124,1036,1160
883,test,134,394,528
884,test,134,305,439
885,test,136,406,542
886,test,131,593,724
887,test,135,2386,2521
888,test,132,389,521
889,test,130,491,621
890,test,168,4001,4169
891,test,167,444,611
892,test,149,2417,2566
893,test,159,486,645
894,test,126,491,617
895,test,133,231,364
896,test,111,362,473
897,test,130,1399,1529
898,test,194,2092,2286
899,test,176,897,1073
900,test,124,550,674
901,test,158,518,676
902,test,120,436,556
903,test,145,403,548
905,test,132,302,434
906,test,139,412,551
907,test,155,357,512
908,test,138,529,667
909,test,131,321,452
910,test,191,560,751
911,test,124,311,435
912,test,164,570,734
913,test,121,242,363
914,test,123,3333,3456
915,test,326,752,1078
916,test,124,543,667
917,test,146,2288,2434
918,test,161,538,699
919,test,149,1199,1348
920,test,133,477,610
921,test,112,250,362
922,test,157,725,882
923,test,155,446,601
924,test,115,716,831
925,test,139,229,368
926,test,175,2215,2390
927,test,138,655,793
928,test,131,498,629
929,test,126,608,734
930,test,124,458,582
931,test,158,376,534
932,test,161,489,650
933,test,141,580,721
935,test,154,702,856
936,test,129,289,418
937,test,129,483,612
938,test,122,1042,1164
939,test,131,337,468
940,test,138,362,500
941,test,117,407,524
942,test,133,574,707
943,test,199,560,759
944,test,148,459,607
945,test,139,385,524
946,test,125,704,829
947,test,117,228,345
948,test,149,390,539
949,test,125,504,629
950,test,143,2736,2879
951,test,128,257,385
952,test,127,324,451
953,test,135,2064,2199
954,test,155,1542,1697
955,test,127,559,686
956,test,126,487,613
957,test,169,522,691
958,test,136,1944,2080
959,test,126,322,448
960,test,140,520,660
961,test,152,1860,2012
962,test,133,326,459
963,test,139,292,431
964,test,129,336,465
965,test,130,525,655
966,test,171,322,493
967,test,179,430,609
968,test,132,683,815
969,test,138,467,605
970,test,119,333,452
971,test,129,1107,1236
972,test,123,408,531
973,test,137,644,781
974,test,159,763,922
975,test,145,567,712
976,test,172,549,721
977,test,120,511,631
978,test,180,425,605
979,test,146,966,1112
980,test,135,367,502
981,test,128,1069,1197
982,test,126,437,563
983,test,126,521,647
984,test,118,1144,1262
985,test,200,522,722
986,test,140,1140,1280
987,test,135,587,722
988,test,143,393,536
989,test,122,1093,1215
990,test,143,1366,1509
991,test,259,635,894
992,test,209,582,791
993,test,130,187,317
994,test,140,424,564
995,test,133,1795,1928
996,test,128,372,500
997,test,131,332,463
998,test,127,1381,1508
999,test,125,598,723
1000,test,150,1964,2114
1001,test,130,3517,3647
1002,test,121,456,577
1003,test,184,393,577
1004,test,119,308,427
1005,test,118,203,321
1006,test,126,349,475
1007,test,173,467,640
1008,test,150,346,496
1009,test,135,475,610
1010,test,126,959,1085
1011,test,137,397,534
1012,test,185,3320,3505
1013,test,134,386,520
1014,test,206,739,945
1015,test,131,421,552
1016,test,134,2694,2828
1017,test,136,549,685
1018,test,151,2734,2885
1019,test,205,2457,2662
1020,test,134,498,632
1021,test,143,576,719
1022,test,135,415,550
1023,test,119,453,572
1024,test,137,431,568
1025,test,151,867,1018
1026,test,122,306,428
